gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3112644062	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/76225292	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.556023	-83.754686	593.0						2016-03-07T21:59:00	7	3	2016	2492037	2492037	HUMAN_OBSERVATION	iNaturalist	Observations	76225292		sooty-2000-falcon	2021-05-01T18:10:58	CC_BY_NC_4_0	sooty-2000-falcon	sooty-2000-falcon			2021-06-01T13:00:28.090Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3109323610	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/74985222	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.559244	-83.754061	8.0						2018-02-15T15:24:00	15	2	2018	2492037	2492037	HUMAN_OBSERVATION	iNaturalist	Observations	74985222		Nick Moore	2021-04-23T23:46:22	CC_BY_NC_4_0	Nick Moore	Nick Moore			2021-06-01T13:44:53.660Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3068069142	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/71771773	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.446946	-83.523993							2021-03-13T11:01:03	13	3	2021	2492037	2492037	HUMAN_OBSERVATION	iNaturalist	Observations	71771773		David Andreas Tønnessen	2021-03-22T03:06:03	CC_BY_NC_4_0	David Andreas Tønnessen	David Andreas Tønnessen			2021-06-01T13:30:41.962Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
3067886569	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/27325672	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.553823	-83.756218	490.0						2017-09-26T11:31:51	26	9	2017	2492037	2492037	HUMAN_OBSERVATION	iNaturalist	Observations	27325672		Will Sweet	2019-06-20T15:01:19	CC_BY_NC_4_0	Will Sweet	Will Sweet			2021-06-01T13:08:37.246Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3058780029	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/70276608	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR		Cartago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.976761	-83.831832	1425.0						2010-04-14T11:02:00	14	4	2010	2492037	2492037	HUMAN_OBSERVATION	iNaturalist	Observations	70276608		Dan Riley	2021-02-27T21:35:19	CC_BY_NC_4_0	Dan Riley	Dan Riley			2021-06-01T13:00:00.908Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3005221000	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/66616455	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.469492	-83.490914	3623.0						2002-02-28T17:34:54	28	2	2002	2492037	2492037	HUMAN_OBSERVATION	iNaturalist	Observations	66616455		Martin Scheuch	2020-12-15T16:43:11	CC_BY_4_0	Martin Scheuch	Martin Scheuch			2021-06-01T13:25:45.259Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3005121007	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/66638339	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.184317	-84.228307	290.0						2007-06-26T12:51:00	26	6	2007	2492037	2492037	HUMAN_OBSERVATION	iNaturalist	Observations	66638339		Pacho Gutierrez	2020-12-16T02:44:43	CC_BY_NC_4_0	Pacho Gutierrez	Pacho Gutierrez			2021-06-01T13:27:48.074Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2999052815	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/66187601	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.21802	-83.455282	45591.0						2017-03-10T17:38:00	10	3	2017	2492037	2492037	HUMAN_OBSERVATION	iNaturalist	Observations	66187601		Leonardo Sueza	2020-12-06T14:28:27	CC_BY_NC_4_0	Barbara Olson	Barbara Olson			2021-06-01T13:44:41.553Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
2984437013	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/64729266	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR		Cartago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.979601	-83.836766	122.0						2019-03-24T13:23:00	24	3	2019	2492037	2492037	HUMAN_OBSERVATION	iNaturalist	Observations	64729266		bigoti	2020-11-12T14:23:19	CC_BY_NC_4_0	bigoti	bigoti			2021-06-01T13:45:00.894Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2982195924	b1047888-ae52-4179-9dd5-5448ea342a24	https://data.biodiversitydata.nl/xeno-canto/observation/XC593707	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Volcan Irazu National Park		PRESENT		1f00d75c-f6fc-4224-a595-975e82d7689c	9.9797	-83.8504							2018-09-23T00:00:00	23	9	2018	2492037	2492037	HUMAN_OBSERVATION		Bird sounds	XC593707				CC_BY_NC_4_0	Marta Celej	Marta Celej			2021-06-12T00:59:47.012Z	StillImage;Sound	
